,index,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year of Career,PPG
0,7681,1985,Michael Jordan*,SG,21.0,CHI,82,82.0,3144.0,837,1625,0.515,9.0,52.0,0.173,828,1573,0.526,0.518,630,746,0.845,167.0,367.0,534.0,481,196.0,69.0,291.0,285,2313,25.8,0.592,0.032,0.459,6.3,13.2,9.8,25.3,3.0,1.3,13.0,29.8,10.3,3.7,14.0,0.213,6.8,1.4,8.2,8.1,1,28.20731707317073
1,8058,1986,Michael Jordan*,SG,22.0,CHI,18,7.0,451.0,150,328,0.457,3.0,18.0,0.167,147,310,0.474,0.462,105,125,0.84,23.0,41.0,64.0,53,37.0,21.0,45.0,46,408,27.5,0.533,0.055,0.381,5.6,10.7,8.0,21.7,3.9,2.7,10.5,38.6,1.0,0.5,1.5,0.16,5.1,-0.5,4.7,0.8,2,22.666666666666668
2,8432,1987,Michael Jordan*,SG,23.0,CHI,82,82.0,3281.0,1098,2279,0.482,12.0,66.0,0.182,1086,2213,0.491,0.484,833,972,0.857,166.0,264.0,430.0,377,236.0,125.0,272.0,237,3041,29.8,0.562,0.029,0.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,11.9,5.0,16.9,0.247,8.0,0.6,8.6,8.8,3,37.08536585365854
3,8831,1988,Michael Jordan*,SG,24.0,CHI,82,82.0,3311.0,1069,1998,0.535,7.0,53.0,0.132,1062,1945,0.546,0.537,723,860,0.841,139.0,310.0,449.0,485,259.0,131.0,252.0,270,2868,31.7,0.603,0.027,0.43,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,15.2,6.1,21.2,0.308,9.8,2.3,12.2,11.8,4,34.97560975609756
4,9258,1989,Michael Jordan*,SG,25.0,CHI,81,81.0,3255.0,966,1795,0.538,27.0,98.0,0.276,939,1697,0.553,0.546,674,793,0.85,149.0,503.0,652.0,650,234.0,65.0,290.0,247,2633,31.1,0.614,0.055,0.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,14.6,5.2,19.8,0.292,9.8,2.7,12.6,12.0,5,32.50617283950617
5,9707,1990,Michael Jordan*,SG,26.0,CHI,82,82.0,3197.0,1034,1964,0.526,92.0,245.0,0.376,942,1719,0.548,0.55,593,699,0.848,143.0,422.0,565.0,519,227.0,54.0,247.0,241,2753,31.2,0.606,0.125,0.356,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,14.7,4.3,19.0,0.285,9.7,0.8,10.6,10.1,6,33.573170731707314
6,10171,1991,Michael Jordan*,SG,27.0,CHI,82,82.0,3034.0,990,1837,0.539,29.0,93.0,0.312,961,1744,0.551,0.547,571,671,0.851,118.0,374.0,492.0,453,223.0,83.0,202.0,229,2580,31.6,0.605,0.051,0.365,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,14.9,5.4,20.3,0.321,8.9,1.8,10.8,9.8,7,31.463414634146343
7,10624,1992,Michael Jordan*,SG,28.0,CHI,80,80.0,3102.0,943,1818,0.519,27.0,100.0,0.27,916,1718,0.533,0.526,491,590,0.832,91.0,420.0,511.0,489,182.0,75.0,200.0,201,2404,27.7,0.579,0.055,0.325,3.5,15.3,9.5,25.7,3.0,1.5,8.8,31.7,12.1,5.6,17.7,0.274,6.9,1.7,8.6,8.3,8,30.05
8,11063,1993,Michael Jordan*,SG,29.0,CHI,78,78.0,3067.0,992,2003,0.495,81.0,230.0,0.352,911,1773,0.514,0.515,476,569,0.837,135.0,387.0,522.0,428,221.0,61.0,207.0,188,2541,29.7,0.564,0.115,0.284,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,12.0,5.2,17.2,0.27,8.3,1.2,9.5,8.9,9,32.57692307692308
9,12003,1995,Michael Jordan*,SG,31.0,CHI,17,17.0,668.0,166,404,0.411,16.0,32.0,0.5,150,372,0.403,0.431,109,136,0.801,25.0,92.0,117.0,90,30.0,13.0,35.0,47,457,22.1,0.493,0.079,0.337,4.4,16.2,10.3,24.2,2.3,1.5,7.0,33.2,1.2,1.1,2.3,0.167,2.0,0.7,2.7,0.8,11,26.88235294117647
